1,Block,From,To,Value (ETH),Ext/Int,Date,Exchange Rate,Value (USD)
15,1129552,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x5ad48d8917b5e3dac087f9f7bb34cfe1a0aac29c,0x0214e8348c4f0000,1,2016-03-10,11.91,2
16,1129545,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x5ad48d8917b5e3dac087f9f7bb34cfe1a0aac29c,0x016345785d8a0000,1,2016-03-10,11.91,1
17,1129565,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x5ad48d8917b5e3dac087f9f7bb34cfe1a0aac29c,0xb1a2bc2ec50000,1,2016-03-10,11.91,1
18,1129936,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x5ad48d8917b5e3dac087f9f7bb34cfe1a0aac29c,0xb1a2bc2ec50000,1,2016-03-10,11.91,1
19,1129936,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x18e113d8177c691a61be785852fa5bb47aeebdaf,0xb1a2bc2ec50000,1,2016-03-10,11.91,1
20,1135451,0x18e113d8177c691a61be785852fa5bb47aeebdaf,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x01158e460913d00000,0,2016-03-11,11.22,224
21,1134630,0x18e113d8177c691a61be785852fa5bb47aeebdaf,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x8ac7230489e80000,0,2016-03-11,11.22,112
22,1132304,0x18e113d8177c691a61be785852fa5bb47aeebdaf,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x0de0b6b3a7640000,0,2016-03-11,11.22,11
23,1131101,0x5280ab0d3feede140734f1cd0575b99e7cbceb6b,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x0de0b6b3a7640000,0,2016-03-11,11.22,11
24,1133787,0x5280ab0d3feede140734f1cd0575b99e7cbceb6b,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x0de0b6b3a7640000,0,2016-03-11,11.22,11
25,1134479,0x5280ab0d3feede140734f1cd0575b99e7cbceb6b,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x0de0b6b3a7640000,0,2016-03-11,11.22,11
26,1135142,0x5280ab0d3feede140734f1cd0575b99e7cbceb6b,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x0de0b6b3a7640000,0,2016-03-11,11.22,11
27,1135462,0x5280ab0d3feede140734f1cd0575b99e7cbceb6b,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x0de0b6b3a7640000,0,2016-03-11,11.22,11
28,1135417,0x75913690d954b30b23dcaa3fb8c94fa97997f5df,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x8ac7230489e80000,0,2016-03-11,11.22,112
29,1132778,0x8568fe4945f2d14cd00b0387103293129f0e3e4a,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x0de0b6b3a7640000,0,2016-03-11,11.22,11
30,1134381,0xa4145a98b12b717078b96821124d781c563511ca,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x0de0b6b3a7640000,0,2016-03-11,11.22,11
31,1135185,0xb3e3429824d31ba87edea73fac823a67f44c6015,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x8ac7230489e80000,0,2016-03-11,11.22,112
32,1134771,0xb3e3429824d31ba87edea73fac823a67f44c6015,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x3782dace9d900000,0,2016-03-11,11.22,45
33,1134424,0xb3e3429824d31ba87edea73fac823a67f44c6015,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x1bc16d674ec80000,0,2016-03-11,11.22,22
34,1131811,0xb3e3429824d31ba87edea73fac823a67f44c6015,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x0de0b6b3a7640000,0,2016-03-11,11.22,11
35,1132694,0xb3e3429824d31ba87edea73fac823a67f44c6015,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x0de0b6b3a7640000,0,2016-03-11,11.22,11
36,1133496,0xb3e3429824d31ba87edea73fac823a67f44c6015,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x0de0b6b3a7640000,0,2016-03-11,11.22,11
37,1133910,0xb3e3429824d31ba87edea73fac823a67f44c6015,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x0de0b6b3a7640000,0,2016-03-11,11.22,11
38,1134508,0xb3e3429824d31ba87edea73fac823a67f44c6015,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x0de0b6b3a7640000,0,2016-03-11,11.22,11
39,1134637,0xb3e3429824d31ba87edea73fac823a67f44c6015,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x0de0b6b3a7640000,0,2016-03-11,11.22,11
40,1135453,0xb3e3429824d31ba87edea73fac823a67f44c6015,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x0de0b6b3a7640000,0,2016-03-11,11.22,11
41,1134697,0xd7bdd310f6e63c336911183e3d833154513b9195,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x0de0b6b3a7640000,0,2016-03-11,11.22,11
42,1135142,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x18e113d8177c691a61be785852fa5bb47aeebdaf,0x98a7d9b8314c0000,1,2016-03-11,11.22,123
43,1135462,0xf45717552f12ef7cb65e95476f217ea008167ae3,0xb3e3429824d31ba87edea73fac823a67f44c6015,0x98a7d9b8314c0000,1,2016-03-11,11.22,123
44,1135451,0xf45717552f12ef7cb65e95476f217ea008167ae3,0xb3e3429824d31ba87edea73fac823a67f44c6015,0x3d0ff0b013b80000,1,2016-03-11,11.22,49
45,1134630,0xf45717552f12ef7cb65e95476f217ea008167ae3,0xb3e3429824d31ba87edea73fac823a67f44c6015,0x1e87f85809dc0000,1,2016-03-11,11.22,25
46,1131101,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x5ad48d8917b5e3dac087f9f7bb34cfe1a0aac29c,0x0f43fc2c04ee0000,1,2016-03-11,11.22,12
47,1131811,0xf45717552f12ef7cb65e95476f217ea008167ae3,0xb81a113d28921f1a079dafe4b2466e86b79532a0,0x0f43fc2c04ee0000,1,2016-03-11,11.22,12
48,1132304,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x5280ab0d3feede140734f1cd0575b99e7cbceb6b,0x0f43fc2c04ee0000,1,2016-03-11,11.22,12
49,1132778,0xf45717552f12ef7cb65e95476f217ea008167ae3,0xb3e3429824d31ba87edea73fac823a67f44c6015,0x0f43fc2c04ee0000,1,2016-03-11,11.22,12
50,1133496,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x18e113d8177c691a61be785852fa5bb47aeebdaf,0x0f43fc2c04ee0000,1,2016-03-11,11.22,12
51,1133787,0xf45717552f12ef7cb65e95476f217ea008167ae3,0xb3e3429824d31ba87edea73fac823a67f44c6015,0x0f43fc2c04ee0000,1,2016-03-11,11.22,12
52,1133910,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x8568fe4945f2d14cd00b0387103293129f0e3e4a,0x0f43fc2c04ee0000,1,2016-03-11,11.22,12
53,1134381,0xf45717552f12ef7cb65e95476f217ea008167ae3,0xb3e3429824d31ba87edea73fac823a67f44c6015,0x0f43fc2c04ee0000,1,2016-03-11,11.22,12
54,1134424,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x5280ab0d3feede140734f1cd0575b99e7cbceb6b,0x0f43fc2c04ee0000,1,2016-03-11,11.22,12
55,1134479,0xf45717552f12ef7cb65e95476f217ea008167ae3,0xb3e3429824d31ba87edea73fac823a67f44c6015,0x0f43fc2c04ee0000,1,2016-03-11,11.22,12
56,1134508,0xf45717552f12ef7cb65e95476f217ea008167ae3,0xa4145a98b12b717078b96821124d781c563511ca,0x0f43fc2c04ee0000,1,2016-03-11,11.22,12
57,1134637,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x5280ab0d3feede140734f1cd0575b99e7cbceb6b,0x0f43fc2c04ee0000,1,2016-03-11,11.22,12
58,1134697,0xf45717552f12ef7cb65e95476f217ea008167ae3,0xb3e3429824d31ba87edea73fac823a67f44c6015,0x0f43fc2c04ee0000,1,2016-03-11,11.22,12
59,1135185,0xf45717552f12ef7cb65e95476f217ea008167ae3,0xb3e3429824d31ba87edea73fac823a67f44c6015,0x0f43fc2c04ee0000,1,2016-03-11,11.22,12
60,1135417,0xf45717552f12ef7cb65e95476f217ea008167ae3,0xd7bdd310f6e63c336911183e3d833154513b9195,0x0f43fc2c04ee0000,1,2016-03-11,11.22,12
61,1135453,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x5280ab0d3feede140734f1cd0575b99e7cbceb6b,0x0f43fc2c04ee0000,1,2016-03-11,11.22,12
62,1135451,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x5ad48d8917b5e3dac087f9f7bb34cfe1a0aac29c,0x0de0b6b3a7640000,1,2016-03-11,11.22,11
63,1134630,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x5ad48d8917b5e3dac087f9f7bb34cfe1a0aac29c,0x06f05b59d3b20000,1,2016-03-11,11.22,6
64,1135185,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x5ad48d8917b5e3dac087f9f7bb34cfe1a0aac29c,0x06f05b59d3b20000,1,2016-03-11,11.22,6
65,1135417,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x5ad48d8917b5e3dac087f9f7bb34cfe1a0aac29c,0x06f05b59d3b20000,1,2016-03-11,11.22,6
66,1134771,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x5ad48d8917b5e3dac087f9f7bb34cfe1a0aac29c,0x02c68af0bb140000,1,2016-03-11,11.22,2
67,1134424,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x5ad48d8917b5e3dac087f9f7bb34cfe1a0aac29c,0x016345785d8a0000,1,2016-03-11,11.22,1
68,1131101,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x5ad48d8917b5e3dac087f9f7bb34cfe1a0aac29c,0xb1a2bc2ec50000,1,2016-03-11,11.22,1
69,1131811,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x5ad48d8917b5e3dac087f9f7bb34cfe1a0aac29c,0xb1a2bc2ec50000,1,2016-03-11,11.22,1
70,1132304,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x5ad48d8917b5e3dac087f9f7bb34cfe1a0aac29c,0xb1a2bc2ec50000,1,2016-03-11,11.22,1
71,1132694,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x5ad48d8917b5e3dac087f9f7bb34cfe1a0aac29c,0xb1a2bc2ec50000,1,2016-03-11,11.22,1
72,1132778,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x5ad48d8917b5e3dac087f9f7bb34cfe1a0aac29c,0xb1a2bc2ec50000,1,2016-03-11,11.22,1
73,1133496,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x5ad48d8917b5e3dac087f9f7bb34cfe1a0aac29c,0xb1a2bc2ec50000,1,2016-03-11,11.22,1
74,1133787,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x5ad48d8917b5e3dac087f9f7bb34cfe1a0aac29c,0xb1a2bc2ec50000,1,2016-03-11,11.22,1
75,1133910,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x5ad48d8917b5e3dac087f9f7bb34cfe1a0aac29c,0xb1a2bc2ec50000,1,2016-03-11,11.22,1
76,1134381,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x5ad48d8917b5e3dac087f9f7bb34cfe1a0aac29c,0xb1a2bc2ec50000,1,2016-03-11,11.22,1
77,1134479,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x5ad48d8917b5e3dac087f9f7bb34cfe1a0aac29c,0xb1a2bc2ec50000,1,2016-03-11,11.22,1
78,1134508,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x5ad48d8917b5e3dac087f9f7bb34cfe1a0aac29c,0xb1a2bc2ec50000,1,2016-03-11,11.22,1
79,1134637,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x5ad48d8917b5e3dac087f9f7bb34cfe1a0aac29c,0xb1a2bc2ec50000,1,2016-03-11,11.22,1
80,1134697,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x5ad48d8917b5e3dac087f9f7bb34cfe1a0aac29c,0xb1a2bc2ec50000,1,2016-03-11,11.22,1
81,1135142,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x5ad48d8917b5e3dac087f9f7bb34cfe1a0aac29c,0xb1a2bc2ec50000,1,2016-03-11,11.22,1
82,1135453,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x5ad48d8917b5e3dac087f9f7bb34cfe1a0aac29c,0xb1a2bc2ec50000,1,2016-03-11,11.22,1
83,1135462,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x5ad48d8917b5e3dac087f9f7bb34cfe1a0aac29c,0xb1a2bc2ec50000,1,2016-03-11,11.22,1
84,1137465,0x18e113d8177c691a61be785852fa5bb47aeebdaf,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x0de0b6b3a7640000,0,2016-03-12,11.27,11
85,1135721,0x21b58df6c2282f81200b4b410b000bfc924d2cf7,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x0de0b6b3a7640000,0,2016-03-12,11.27,11
86,1135855,0x21b58df6c2282f81200b4b410b000bfc924d2cf7,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x0de0b6b3a7640000,0,2016-03-12,11.27,11
87,1135862,0x5280ab0d3feede140734f1cd0575b99e7cbceb6b,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x0de0b6b3a7640000,0,2016-03-12,11.27,11
88,1136227,0x5280ab0d3feede140734f1cd0575b99e7cbceb6b,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x0de0b6b3a7640000,0,2016-03-12,11.27,11
89,1136742,0x5280ab0d3feede140734f1cd0575b99e7cbceb6b,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x0de0b6b3a7640000,0,2016-03-12,11.27,11
90,1136923,0x5280ab0d3feede140734f1cd0575b99e7cbceb6b,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x0de0b6b3a7640000,0,2016-03-12,11.27,11
91,1137043,0x5ad48d8917b5e3dac087f9f7bb34cfe1a0aac29c,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x010383beec53ce0000,0,2016-03-12,11.27,211
92,1136521,0x75913690d954b30b23dcaa3fb8c94fa97997f5df,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x98a7d9b8314c0000,0,2016-03-12,11.27,124
93,1135658,0x75913690d954b30b23dcaa3fb8c94fa97997f5df,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x8ac7230489e80000,0,2016-03-12,11.27,113
94,1135867,0x75913690d954b30b23dcaa3fb8c94fa97997f5df,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x8ac7230489e80000,0,2016-03-12,11.27,113
95,1136223,0x75913690d954b30b23dcaa3fb8c94fa97997f5df,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x8ac7230489e80000,0,2016-03-12,11.27,113
96,1136342,0x75913690d954b30b23dcaa3fb8c94fa97997f5df,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x1bc16d674ec80000,0,2016-03-12,11.27,23
97,1139425,0x75913690d954b30b23dcaa3fb8c94fa97997f5df,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x1bc16d674ec80000,0,2016-03-12,11.27,23
98,1135699,0x75913690d954b30b23dcaa3fb8c94fa97997f5df,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x0de0b6b3a7640000,0,2016-03-12,11.27,11
99,1135959,0x75913690d954b30b23dcaa3fb8c94fa97997f5df,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x0de0b6b3a7640000,0,2016-03-12,11.27,11
100,1136156,0x75913690d954b30b23dcaa3fb8c94fa97997f5df,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x0de0b6b3a7640000,0,2016-03-12,11.27,11
101,1136255,0x75913690d954b30b23dcaa3fb8c94fa97997f5df,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x0de0b6b3a7640000,0,2016-03-12,11.27,11
102,1136867,0x75913690d954b30b23dcaa3fb8c94fa97997f5df,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x0de0b6b3a7640000,0,2016-03-12,11.27,11
103,1139878,0xaedd675607520b203a0216e38f3b5b440b8d901c,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x0de0b6b3a7640000,0,2016-03-12,11.27,11
104,1139902,0xaedd675607520b203a0216e38f3b5b440b8d901c,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x0de0b6b3a7640000,0,2016-03-12,11.27,11
105,1135746,0xb3cb9dc84746a6951c3557898e3f34426c251f35,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x0de0b6b3a7640000,0,2016-03-12,11.27,11
106,1135815,0xb3cb9dc84746a6951c3557898e3f34426c251f35,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x0de0b6b3a7640000,0,2016-03-12,11.27,11
107,1136012,0xb3cb9dc84746a6951c3557898e3f34426c251f35,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x0de0b6b3a7640000,0,2016-03-12,11.27,11
108,1136208,0xb3cb9dc84746a6951c3557898e3f34426c251f35,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x0de0b6b3a7640000,0,2016-03-12,11.27,11
109,1136342,0xb3cb9dc84746a6951c3557898e3f34426c251f35,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x0de0b6b3a7640000,0,2016-03-12,11.27,11
110,1136484,0xb3cb9dc84746a6951c3557898e3f34426c251f35,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x0de0b6b3a7640000,0,2016-03-12,11.27,11
111,1139254,0xb3cb9dc84746a6951c3557898e3f34426c251f35,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x0de0b6b3a7640000,0,2016-03-12,11.27,11
112,1136140,0xb3e3429824d31ba87edea73fac823a67f44c6015,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x022b1c8c1227a00000,0,2016-03-12,11.27,451
113,1136273,0xb3e3429824d31ba87edea73fac823a67f44c6015,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x022b1c8c1227a00000,0,2016-03-12,11.27,451
114,1135774,0xb3e3429824d31ba87edea73fac823a67f44c6015,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x01158e460913d00000,0,2016-03-12,11.27,225
115,1135877,0xb3e3429824d31ba87edea73fac823a67f44c6015,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x8ac7230489e80000,0,2016-03-12,11.27,113
116,1136408,0xb3e3429824d31ba87edea73fac823a67f44c6015,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x8ac7230489e80000,0,2016-03-12,11.27,113
117,1136499,0xb3e3429824d31ba87edea73fac823a67f44c6015,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x8ac7230489e80000,0,2016-03-12,11.27,113
118,1136544,0xb3e3429824d31ba87edea73fac823a67f44c6015,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x8ac7230489e80000,0,2016-03-12,11.27,113
119,1135981,0xb3e3429824d31ba87edea73fac823a67f44c6015,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x0de0b6b3a7640000,0,2016-03-12,11.27,11
120,1136175,0xb3e3429824d31ba87edea73fac823a67f44c6015,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x0de0b6b3a7640000,0,2016-03-12,11.27,11
121,1136223,0xb3e3429824d31ba87edea73fac823a67f44c6015,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x0de0b6b3a7640000,0,2016-03-12,11.27,11
122,1136246,0xb3e3429824d31ba87edea73fac823a67f44c6015,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x0de0b6b3a7640000,0,2016-03-12,11.27,11
123,1136763,0xb3e3429824d31ba87edea73fac823a67f44c6015,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x0de0b6b3a7640000,0,2016-03-12,11.27,11
124,1136885,0xb3e3429824d31ba87edea73fac823a67f44c6015,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x0de0b6b3a7640000,0,2016-03-12,11.27,11
125,1136943,0xb3e3429824d31ba87edea73fac823a67f44c6015,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x0de0b6b3a7640000,0,2016-03-12,11.27,11
126,1137127,0xb3e3429824d31ba87edea73fac823a67f44c6015,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x0de0b6b3a7640000,0,2016-03-12,11.27,11
127,1138683,0xb3e3429824d31ba87edea73fac823a67f44c6015,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x0de0b6b3a7640000,0,2016-03-12,11.27,11
128,1139295,0xb3e3429824d31ba87edea73fac823a67f44c6015,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x0de0b6b3a7640000,0,2016-03-12,11.27,11
129,1139445,0xb3e3429824d31ba87edea73fac823a67f44c6015,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x0de0b6b3a7640000,0,2016-03-12,11.27,11
130,1139897,0xb3e3429824d31ba87edea73fac823a67f44c6015,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x0de0b6b3a7640000,0,2016-03-12,11.27,11
131,1139945,0xb3e3429824d31ba87edea73fac823a67f44c6015,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x0de0b6b3a7640000,0,2016-03-12,11.27,11
132,1136217,0xb81a113d28921f1a079dafe4b2466e86b79532a0,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x029a2241af62c00000,0,2016-03-12,11.27,541
133,1135806,0xb81a113d28921f1a079dafe4b2466e86b79532a0,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x01158e460913d00000,0,2016-03-12,11.27,225
134,1135654,0xd7bdd310f6e63c336911183e3d833154513b9195,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x0de0b6b3a7640000,0,2016-03-12,11.27,11
135,1135661,0xd7bdd310f6e63c336911183e3d833154513b9195,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x0de0b6b3a7640000,0,2016-03-12,11.27,11
136,1136408,0xf45717552f12ef7cb65e95476f217ea008167ae3,0xb81a113d28921f1a079dafe4b2466e86b79532a0,0x02dcbf4840eca00000,1,2016-03-12,11.27,595
137,1136255,0xf45717552f12ef7cb65e95476f217ea008167ae3,0xb3e3429824d31ba87edea73fac823a67f44c6015,0x02629f66e0c5300000,1,2016-03-12,11.27,496
138,1137043,0xf45717552f12ef7cb65e95476f217ea008167ae3,0xb3e3429824d31ba87edea73fac823a67f44c6015,0x02629f66e0c5300000,1,2016-03-12,11.27,496
139,1135774,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x18e113d8177c691a61be785852fa5bb47aeebdaf,0x01314fb37062980000,1,2016-03-12,11.27,248
140,1136012,0xf45717552f12ef7cb65e95476f217ea008167ae3,0xb3e3429824d31ba87edea73fac823a67f44c6015,0x01314fb37062980000,1,2016-03-12,11.27,248
141,1136140,0xf45717552f12ef7cb65e95476f217ea008167ae3,0xb81a113d28921f1a079dafe4b2466e86b79532a0,0x01314fb37062980000,1,2016-03-12,11.27,248
142,1135654,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x75913690d954b30b23dcaa3fb8c94fa97997f5df,0x98a7d9b8314c0000,1,2016-03-12,11.27,124
143,1135862,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x75913690d954b30b23dcaa3fb8c94fa97997f5df,0x98a7d9b8314c0000,1,2016-03-12,11.27,124
144,1136217,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x75913690d954b30b23dcaa3fb8c94fa97997f5df,0x98a7d9b8314c0000,1,2016-03-12,11.27,124
145,1136223,0xf45717552f12ef7cb65e95476f217ea008167ae3,0xb3e3429824d31ba87edea73fac823a67f44c6015,0x98a7d9b8314c0000,1,2016-03-12,11.27,124
146,1136499,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x75913690d954b30b23dcaa3fb8c94fa97997f5df,0x98a7d9b8314c0000,1,2016-03-12,11.27,124
147,1136217,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x5ad48d8917b5e3dac087f9f7bb34cfe1a0aac29c,0x214e8348c4f00000,1,2016-03-12,11.27,27
148,1137127,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x75913690d954b30b23dcaa3fb8c94fa97997f5df,0x1e87f85809dc0000,1,2016-03-12,11.27,25
149,1136140,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x5ad48d8917b5e3dac087f9f7bb34cfe1a0aac29c,0x1bc16d674ec80000,1,2016-03-12,11.27,23
150,1136273,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x5ad48d8917b5e3dac087f9f7bb34cfe1a0aac29c,0x1bc16d674ec80000,1,2016-03-12,11.27,23
151,1135806,0xf45717552f12ef7cb65e95476f217ea008167ae3,0xb3e3429824d31ba87edea73fac823a67f44c6015,0x0f43fc2c04ee0000,1,2016-03-12,11.27,12
152,1135815,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x5280ab0d3feede140734f1cd0575b99e7cbceb6b,0x0f43fc2c04ee0000,1,2016-03-12,11.27,12
153,1135855,0xf45717552f12ef7cb65e95476f217ea008167ae3,0xd7bdd310f6e63c336911183e3d833154513b9195,0x0f43fc2c04ee0000,1,2016-03-12,11.27,12
154,1135867,0xf45717552f12ef7cb65e95476f217ea008167ae3,0xd7bdd310f6e63c336911183e3d833154513b9195,0x0f43fc2c04ee0000,1,2016-03-12,11.27,12
